period_id,l2_name,l1_name,n_goals,avg_composite,avg_composite_raw,at_risk_count,avg_coherence,avg_coherence_norm,avg_attainability,avg_relevance,avg_integrity,budget_shock,market_shock
21,Content & SEO,Marketing,3,0.312,0.312,2,0.727,0.66,0.103,0.39,0.029,0,0
21,Core Platform,Product,3,0.325,0.325,2,0.622,0.529,0.098,0.327,0.255,0,0
21,Customer Success,Operations,3,0.372,0.372,1,0.696,0.621,0.101,0.633,0.056,0,0
21,Data & Analytics,Operations,2,0.386,0.386,0,0.825,0.782,0.107,0.575,0.036,0,0
21,Events & Community,Marketing,3,0.31,0.31,2,0.606,0.509,0.099,0.453,0.084,0,0
21,Finance & Legal,G&A,2,0.284,0.284,2,0.433,0.293,0.101,0.392,0.208,0,0
21,General Admin,G&A,2,0.272,0.272,2,0.633,0.543,0.105,0.21,0.139,0,0
21,HR & Recruiting,G&A,2,0.268,0.268,2,0.625,0.532,0.1,0.21,0.137,0,0
21,Infrastructure & DevOps,Operations,2,0.238,0.238,2,0.45,0.314,0.098,0.216,0.19,0,0
21,New Features,Product,3,0.331,0.331,2,0.622,0.529,0.105,0.511,0.084,0,0
21,Paid Acquisition,Marketing,3,0.363,0.363,1,0.756,0.695,0.101,0.511,0.085,0,0
21,Partnerships,Marketing,3,0.314,0.314,2,0.448,0.312,0.101,0.486,0.219,0,0
21,Research & Innovation,Product,2,0.382,0.382,1,0.625,0.532,0.102,0.575,0.228,0,0
21,Technical Debt,Product,2,0.27,0.27,1,0.46,0.327,0.102,0.392,0.125,0,0
22,Content & SEO,Marketing,3,0.351,0.351,2,0.727,0.66,0.102,0.473,0.104,0,0
22,Core Platform,Product,3,0.303,0.303,2,0.622,0.529,0.107,0.327,0.155,0,0
22,Customer Success,Operations,3,0.37,0.37,1,0.696,0.622,0.105,0.633,0.046,0,0
22,Data & Analytics,Operations,2,0.393,0.393,0,0.825,0.782,0.103,0.575,0.07,0,0
22,Events & Community,Marketing,3,0.311,0.311,2,0.606,0.509,0.101,0.453,0.084,0,0
22,Finance & Legal,G&A,2,0.265,0.265,2,0.433,0.293,0.1,0.392,0.132,0,0
22,General Admin,G&A,2,0.322,0.322,1,0.633,0.542,0.102,0.21,0.345,0,0
22,HR & Recruiting,G&A,2,0.277,0.277,2,0.625,0.532,0.101,0.21,0.171,0,0
22,Infrastructure & DevOps,Operations,2,0.192,0.192,2,0.45,0.314,0.103,0.216,0.0,0,0
22,New Features,Product,3,0.334,0.334,2,0.622,0.529,0.107,0.511,0.097,0,0
22,Paid Acquisition,Marketing,3,0.381,0.381,1,0.756,0.695,0.1,0.511,0.156,0,0
22,Partnerships,Marketing,3,0.415,0.415,0,0.448,0.312,0.102,0.736,0.373,0,0
22,Research & Innovation,Product,2,0.347,0.347,1,0.625,0.532,0.102,0.575,0.085,0,0
22,Technical Debt,Product,2,0.285,0.285,1,0.46,0.327,0.099,0.392,0.187,0,0
23,Content & SEO,Marketing,3,0.327,0.327,2,0.727,0.66,0.095,0.473,0.012,0,0
23,Core Platform,Product,3,0.33,0.33,2,0.622,0.529,0.09,0.41,0.2,0,0
23,Customer Success,Operations,3,0.363,0.363,1,0.697,0.622,0.093,0.633,0.031,0,0
23,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.782,0.088,0.575,0.01,0,0
23,Events & Community,Marketing,3,0.308,0.308,2,0.606,0.509,0.092,0.453,0.084,0,0
23,Finance & Legal,G&A,2,0.313,0.313,1,0.433,0.293,0.096,0.392,0.329,0,0
23,General Admin,G&A,2,0.243,0.243,2,0.633,0.543,0.092,0.21,0.036,0,0
23,HR & Recruiting,G&A,2,0.273,0.273,2,0.625,0.532,0.096,0.21,0.16,0,0
23,Infrastructure & DevOps,Operations,2,0.191,0.191,2,0.45,0.314,0.094,0.216,0.005,0,0
23,New Features,Product,3,0.326,0.326,2,0.622,0.529,0.087,0.511,0.083,0,0
23,Paid Acquisition,Marketing,3,0.366,0.366,1,0.756,0.695,0.093,0.511,0.103,0,0
23,Partnerships,Marketing,3,0.351,0.351,1,0.448,0.312,0.094,0.653,0.207,0,0
23,Research & Innovation,Product,2,0.349,0.349,1,0.625,0.532,0.091,0.575,0.105,0,0
23,Technical Debt,Product,2,0.236,0.236,1,0.46,0.327,0.092,0.392,0.0,0,0
24,Content & SEO,Marketing,3,0.32,0.32,2,0.727,0.66,0.003,0.39,0.161,0,0
24,Core Platform,Product,3,0.32,0.32,2,0.622,0.529,0.008,0.41,0.241,0,0
24,Customer Success,Operations,3,0.343,0.343,2,0.697,0.622,0.003,0.633,0.039,0,0
24,Data & Analytics,Operations,2,0.351,0.351,0,0.825,0.782,0.005,0.575,0.0,0,0
24,Events & Community,Marketing,3,0.287,0.287,3,0.606,0.509,0.006,0.453,0.084,0,0
24,Finance & Legal,G&A,2,0.287,0.287,2,0.433,0.293,0.003,0.517,0.194,0,0
24,General Admin,G&A,2,0.255,0.255,2,0.633,0.543,0.004,0.21,0.174,0,0
24,HR & Recruiting,G&A,2,0.229,0.229,2,0.625,0.532,0.003,0.21,0.08,0,0
24,Infrastructure & DevOps,Operations,2,0.182,0.182,2,0.45,0.314,0.004,0.216,0.059,0,0
24,New Features,Product,3,0.285,0.285,3,0.622,0.529,0.005,0.511,0.0,0,0
24,Paid Acquisition,Marketing,3,0.374,0.374,1,0.756,0.695,0.005,0.511,0.226,0,0
24,Partnerships,Marketing,3,0.299,0.299,3,0.448,0.312,0.003,0.57,0.174,0,0
24,Research & Innovation,Product,2,0.314,0.314,1,0.625,0.532,0.006,0.575,0.052,0,0
24,Technical Debt,Product,2,0.215,0.215,1,0.46,0.327,0.007,0.392,0.0,0,0
